seed,x,y,value
0,0,0,0
0,1,0,-0.53404147324397799
0,0,1,0.45575546577801773
1,0,0,0
-1,0,0,0
42,12.5,-7.25,-0.43428179805592593
42,-1000.125,1000.125,0.77437241377857946
2026,3.1415926500000002,2.7182818200000001,0.74987637814297525
2026,16,16,0.37301535186224544
2026,-16,-16,-0.86187521981405446
999999999,0.5,0.5,0.6095168746854126
-999999999,0.5,-0.5,0.10731318683655233
7,100000,-100000,0
-447374,-708.82833907598524,-1307.0881377121941,0.70040970551842818
470483,135.46864864734516,58.462207997607948,0.32143977275036018
-496410,-554.6566383991269,477.88467343374623,-0.27991609717839316
125157,1837.9882009407011,-1113.228049975537,0.79740566153160941
-744906,1157.7971884067815,1615.7616370095011,-0.068121471610460269
-190650,90.030346704490967,1249.1948007815076,-0.32572787438363621
813621,1192.2662348914218,-510.12250947244183,0.75514058646686544
-925040,-1868.1767089010257,-465.96733991379801,0.47382432363707538
780702,-1947.1091156100176,1540.7986139791128,0.37699850957060543
193577,1432.0875452018158,-393.19868057195163,0.56257231543182795
-95205,-1800.3492036838243,-292.90615180840359,-0.083560545014418869
-875228,-1855.0947861702318,-1090.7988810643783,-0.40119737345238121
982950,555.55038240347358,444.32834849454002,0.22604918981417529
-712926,1194.9226101918512,-313.14080857279919,0.80212132604888386
-368345,-1208.0930503103896,-1797.8471744102353,-0.30079778213131209
-421389,-1346.8414420512522,-401.74344214283701,0.037019342404445536
903332,-1549.6615513115053,851.49168206968488,-0.5484221950392778
257116,72.553753344029246,-399.50291748296991,-0.60859551028512104
-418627,-161.94112445169662,26.006748838313342,0.90532786803747689
-232181,1068.9667012887021,587.09280730828141,0.21898529878106707
67140,-760.3526979570529,1449.4892831393272,0.45545402208980157
-367410,1661.726495440605,311.2921538989176,0.64241959125028947
-195274,-1358.7613719650499,1991.8814051027221,-0.27090414643432353
793310,1168.8822887672995,-1754.8017960297523,-0.11733131382148994
-757425,-1812.7503748197844,545.1394876866907,0.3532502379940512
-582680,944.87820803332215,1575.2781912323694,-0.38189169348665736
466726,840.55594092025649,1517.3106969823484,-0.098176873753432953
-214585,-899.80783583090897,-754.73557172058281,0.82658355754455126
-734653,-804.17236708036876,-1710.735673228643,0.46416194837412056
-108876,220.20824380159456,1847.360331413603,0.20408196692858219
-258712,-1585.8947198515725,1395.0396296783288,0.11420589052144822
575125,1303.8700338146023,-1583.7321101287753,0.12691212780674788
-949547,134.46104326660816,-1960.4427119707732,-0.71096568016118733
-340854,-412.2772681796821,1917.6195504760776,-0.7593358723795961
880423,-302.14228273567187,1200.3114404085968,0.59304734847176366
559988,1648.9577103876054,-477.84271414000796,0.79297723950948507
328878,73.384520820930447,506.85504988739149,0.80336494961655813
-262761,356.25779828387613,587.98236114933616,-0.34111802120394474
-910298,-1549.4270728783654,668.40707111432084,0.569759860479644
-662679,53.789586050169873,1557.3561129500613,0.67968688029860103
